run,epoch,phase,image_name,ground_truth,prediction
1,1,train,second_gen_h_15_z_30.png,H,Q
1,1,train,second_gen_h_54_z_-30.png,H,Q
1,1,train,second_gen_h_54_z_30.png,H,Q
1,1,train,second_gen_h_100_z_30.png,H,Q
1,1,train,second_gen_h_95_z_30.png,H,H
1,1,train,second_gen_p_76_z_30.png,P,H
1,1,train,second_gen_p_76_z_-30.png,P,H
1,1,train,second_gen_q_15_z_30.png,Q,H
1,1,train,second_gen_p_50_z_30.png,P,H
1,1,train,second_gen_q_54_z_-30.png,Q,H
1,1,train,second_gen_q_97_z_30.png,Q,H
1,1,train,second_gen_q_75_z_30.png,Q,H
1,1,train,second_gen_h_77_z_30.png,H,H
1,1,train,second_gen_h_15_z_-30.png,H,H
1,1,train,second_gen_q_54_z_30.png,Q,H
1,1,train,second_gen_h_95_z_-30.png,H,H
1,1,train,second_gen_q_75_z_-30.png,Q,H
1,1,train,second_gen_p_82_z_30.png,P,H
1,1,train,second_gen_p_6_z_-30.png,P,H
1,1,train,second_gen_h_60_z_-30.png,H,H
1,1,train,second_gen_q_97_z_-30.png,Q,H
1,1,train,second_gen_p_60_z_30.png,P,H
1,1,train,second_gen_h_77_z_-30.png,H,H
1,1,train,second_gen_q_11_z_-30.png,Q,H
1,1,train,second_gen_p_60_z_-30.png,P,H
1,1,train,second_gen_h_60_z_30.png,H,H
1,1,train,second_gen_p_21_z_-30.png,P,H
1,1,train,second_gen_p_82_z_-30.png,P,H
1,1,train,second_gen_p_50_z_-30.png,P,Q
1,1,train,second_gen_q_11_z_30.png,Q,H
1,1,train,second_gen_q_15_z_-30.png,Q,H
1,1,train,second_gen_q_20_z_-30.png,Q,Q
1,1,train,second_gen_p_6_z_30.png,P,Q
1,1,train,second_gen_h_100_z_-30.png,H,Q
1,1,train,second_gen_p_21_z_30.png,P,Q
1,1,train,second_gen_q_20_z_30.png,Q,Q
1,1,test,second_gen_h_100_z_-10.png,H,H
1,1,test,second_gen_h_100_z_-100.png,H,H
1,1,test,second_gen_h_100_z_-105.png,H,H
1,1,test,second_gen_h_100_z_-110.png,H,H
1,1,test,second_gen_h_100_z_-115.png,H,H
1,1,test,second_gen_h_100_z_-120.png,H,H
1,1,test,second_gen_h_100_z_-125.png,H,H
1,1,test,second_gen_h_100_z_-130.png,H,H
1,1,test,second_gen_h_100_z_-135.png,H,Q
1,1,test,second_gen_h_100_z_-140.png,H,Q
1,1,test,second_gen_h_100_z_-145.png,H,Q
1,1,test,second_gen_h_100_z_-15.png,H,H
1,1,test,second_gen_h_100_z_-150.png,H,Q
1,1,test,second_gen_h_100_z_-155.png,H,Q
1,1,test,second_gen_h_100_z_-160.png,H,Q
1,1,test,second_gen_h_100_z_-165.png,H,Q
1,1,test,second_gen_h_100_z_-170.png,H,Q
1,1,test,second_gen_h_100_z_-175.png,H,Q
1,1,test,second_gen_h_100_z_-180.png,H,Q
1,1,test,second_gen_h_100_z_-20.png,H,H
1,1,test,second_gen_h_100_z_-25.png,H,H
1,1,test,second_gen_h_100_z_-30.png,H,Q
1,1,test,second_gen_h_100_z_-35.png,H,H
1,1,test,second_gen_h_100_z_-40.png,H,H
1,1,test,second_gen_h_100_z_-45.png,H,Q
1,1,test,second_gen_h_100_z_-5.png,H,H
1,1,test,second_gen_h_100_z_-50.png,H,Q
1,1,test,second_gen_h_100_z_-55.png,H,Q
1,1,test,second_gen_h_100_z_-60.png,H,Q
1,1,test,second_gen_h_100_z_-65.png,H,Q
1,1,test,second_gen_h_100_z_-70.png,H,H
1,1,test,second_gen_h_100_z_-75.png,H,H
1,1,test,second_gen_h_100_z_-80.png,H,H
1,1,test,second_gen_h_100_z_-85.png,H,H
1,1,test,second_gen_h_100_z_-90.png,H,H
