run,epoch,phase,image_name,ground_truth,prediction
1,1,train,second_gen_h_40_z_30.png,H,Q
1,1,train,second_gen_h_43_z_-30.png,H,H
1,1,train,second_gen_h_43_z_30.png,H,H
1,1,train,second_gen_h_35_z_30.png,H,Q
1,1,train,second_gen_h_72_z_30.png,H,H
1,1,train,second_gen_p_51_z_30.png,P,H
1,1,train,second_gen_p_51_z_-30.png,P,H
1,1,train,second_gen_q_43_z_30.png,Q,H
1,1,train,second_gen_p_33_z_30.png,P,H
1,1,train,second_gen_q_57_z_-30.png,Q,H
1,1,train,second_gen_q_93_z_30.png,Q,H
1,1,train,second_gen_q_78_z_30.png,Q,H
1,1,train,second_gen_h_67_z_30.png,H,H
1,1,train,second_gen_h_40_z_-30.png,H,H
1,1,train,second_gen_q_57_z_30.png,Q,H
1,1,train,second_gen_h_72_z_-30.png,H,H
1,1,train,second_gen_q_78_z_-30.png,Q,H
1,1,train,second_gen_p_64_z_30.png,P,H
1,1,train,second_gen_p_46_z_-30.png,P,H
1,1,train,second_gen_h_5_z_-30.png,H,H
1,1,train,second_gen_q_93_z_-30.png,Q,H
1,1,train,second_gen_p_37_z_30.png,P,H
1,1,train,second_gen_h_67_z_-30.png,H,H
1,1,train,second_gen_q_13_z_-30.png,Q,H
1,1,train,second_gen_p_37_z_-30.png,P,H
1,1,train,second_gen_h_5_z_30.png,H,H
1,1,train,second_gen_p_26_z_-30.png,P,H
1,1,train,second_gen_p_64_z_-30.png,P,H
1,1,train,second_gen_p_33_z_-30.png,P,H
1,1,train,second_gen_q_13_z_30.png,Q,H
1,1,train,second_gen_q_43_z_-30.png,Q,H
1,1,train,second_gen_q_49_z_-30.png,Q,H
1,1,train,second_gen_p_46_z_30.png,P,H
1,1,train,second_gen_h_35_z_-30.png,H,H
1,1,train,second_gen_p_26_z_30.png,P,Q
1,1,train,second_gen_q_49_z_30.png,Q,Q
1,1,test,second_gen_h_35_z_-10.png,H,Q
1,1,test,second_gen_h_35_z_-100.png,H,Q
1,1,test,second_gen_h_35_z_-105.png,H,Q
1,1,test,second_gen_h_35_z_-110.png,H,Q
1,1,test,second_gen_h_35_z_-115.png,H,Q
1,1,test,second_gen_h_35_z_-120.png,H,Q
1,1,test,second_gen_h_35_z_-125.png,H,Q
1,1,test,second_gen_h_35_z_-130.png,H,Q
1,1,test,second_gen_h_35_z_-135.png,H,Q
1,1,test,second_gen_h_35_z_-140.png,H,Q
1,1,test,second_gen_h_35_z_-145.png,H,Q
1,1,test,second_gen_h_35_z_-15.png,H,Q
1,1,test,second_gen_h_35_z_-150.png,H,Q
1,1,test,second_gen_h_35_z_-155.png,H,Q
1,1,test,second_gen_h_35_z_-160.png,H,Q
1,1,test,second_gen_h_35_z_-165.png,H,Q
1,1,test,second_gen_h_35_z_-170.png,H,Q
1,1,test,second_gen_h_35_z_-175.png,H,Q
1,1,test,second_gen_h_35_z_-180.png,H,Q
1,1,test,second_gen_h_35_z_-20.png,H,Q
1,1,test,second_gen_h_35_z_-25.png,H,Q
1,1,test,second_gen_h_35_z_-30.png,H,Q
1,1,test,second_gen_h_35_z_-35.png,H,Q
1,1,test,second_gen_h_35_z_-40.png,H,Q
1,1,test,second_gen_h_35_z_-45.png,H,Q
1,1,test,second_gen_h_35_z_-5.png,H,Q
1,1,test,second_gen_h_35_z_-50.png,H,Q
1,1,test,second_gen_h_35_z_-55.png,H,Q
1,1,test,second_gen_h_35_z_-60.png,H,Q
1,1,test,second_gen_h_35_z_-65.png,H,Q
1,1,test,second_gen_h_35_z_-70.png,H,Q
1,1,test,second_gen_h_35_z_-75.png,H,Q
1,1,test,second_gen_h_35_z_-80.png,H,Q
1,1,test,second_gen_h_35_z_-85.png,H,Q
1,1,test,second_gen_h_35_z_-90.png,H,Q
1,1,test,second_gen_h_35_z_-95.png,H,Q
1,1,test,second_gen_h_35_z_0.png,H,Q
1,1,test,second_gen_h_35_z_10.png,H,Q
1,1,test,second_gen_h_35_z_100.png,H,Q
1,1,test,second_gen_h_35_z_105.png,H,Q
1,1,test,second_gen_h_35_z_110.png,H,Q
1,1,test,second_gen_h_35_z_115.png,H,Q
1,1,test,second_gen_h_35_z_120.png,H,Q
1,1,test,second_gen_h_35_z_125.png,H,Q
1,1,test,second_gen_h_35_z_130.png,H,Q
1,1,test,second_gen_h_35_z_135.png,H,Q
1,1,test,second_gen_h_35_z_140.png,H,Q
1,1,test,second_gen_h_35_z_145.png,H,Q
1,1,test,second_gen_h_35_z_15.png,H,Q
1,1,test,second_gen_h_35_z_150.png,H,Q
1,1,test,second_gen_h_35_z_155.png,H,Q
1,1,test,second_gen_h_35_z_160.png,H,Q
1,1,test,second_gen_h_35_z_165.png,H,Q
1,1,test,second_gen_h_35_z_170.png,H,Q
1,1,test,second_gen_h_35_z_175.png,H,Q
1,1,test,second_gen_h_35_z_180.png,H,Q
1,1,test,second_gen_h_35_z_20.png,H,Q
1,1,test,second_gen_h_35_z_25.png,H,Q
1,1,test,second_gen_h_35_z_30.png,H,Q
1,1,test,second_gen_h_35_z_35.png,H,Q
1,1,test,second_gen_h_35_z_40.png,H,Q
1,1,test,second_gen_h_35_z_45.png,H,Q
1,1,test,second_gen_h_35_z_5.png,H,Q
1,1,test,second_gen_h_35_z_50.png,H,Q
1,1,test,second_gen_h_35_z_55.png,H,Q
1,1,test,second_gen_h_35_z_60.png,H,Q
1,1,test,second_gen_h_35_z_65.png,H,Q
1,1,test,second_gen_h_35_z_70.png,H,Q
1,1,test,second_gen_h_35_z_75.png,H,Q
1,1,test,second_gen_h_35_z_80.png,H,Q
1,1,test,second_gen_h_35_z_85.png,H,Q
1,1,test,second_gen_h_35_z_90.png,H,Q
1,1,test,second_gen_h_35_z_95.png,H,Q
1,1,test,second_gen_h_40_z_-10.png,H,Q
1,1,test,second_gen_h_40_z_-100.png,H,Q
1,1,test,second_gen_h_40_z_-105.png,H,Q
1,1,test,second_gen_h_40_z_-110.png,H,Q
1,1,test,second_gen_h_40_z_-115.png,H,Q
1,1,test,second_gen_h_40_z_-120.png,H,Q
1,1,test,second_gen_h_40_z_-125.png,H,Q
1,1,test,second_gen_h_40_z_-130.png,H,Q
1,1,test,second_gen_h_40_z_-135.png,H,Q
1,1,test,second_gen_h_40_z_-140.png,H,Q
1,1,test,second_gen_h_40_z_-145.png,H,Q
1,1,test,second_gen_h_40_z_-15.png,H,Q
1,1,test,second_gen_h_40_z_-150.png,H,Q
1,1,test,second_gen_h_40_z_-155.png,H,Q
1,1,test,second_gen_h_40_z_-160.png,H,Q
1,1,test,second_gen_h_40_z_-165.png,H,Q
1,1,test,second_gen_h_40_z_-170.png,H,Q
1,1,test,second_gen_h_40_z_-175.png,H,Q
1,1,test,second_gen_h_40_z_-180.png,H,Q
1,1,test,second_gen_h_40_z_-20.png,H,Q
