,number,value,datetime_start,datetime_complete,duration,params_algorithm,params_dropout_rate,params_lr_Adadelta,params_lr_Adam,params_lr_AdamW,params_lr_SGD,params_momentum_SGD,params_nesterov_SGD,params_suggested_freeze,params_weight_decay_Adadelta,params_weight_decay_Adam,params_weight_decay_AdamW,params_weight_decay_SGD,state
0,0,39.583333333333336,2025-05-24 19:49:36.438117,2025-05-24 19:49:49.086781,0 days 00:00:12.648664,Adadelta,0.4753571532049581,0.017073967431528128,,,,,,5,29.154431891537552,,,,COMPLETE
1,1,45.833333333333336,2025-05-24 19:49:49.145172,2025-05-24 19:50:00.491198,0 days 00:00:11.346026,Adam,0.35403628889802274,,5.3370327626039544e-05,,,,,8,,0.05415244119402541,,,COMPLETE
2,2,50.0,2025-05-24 19:50:00.530083,2025-05-24 19:50:05.438590,0 days 00:00:04.908507,AdamW,0.2623782158161189,,,0.00014742753159914678,,,,4,,,0.0005404103854647331,,COMPLETE
3,3,35.416666666666664,2025-05-24 19:50:05.487666,2025-05-24 19:50:11.736081,0 days 00:00:06.248415,AdamW,0.3925879806965068,,,0.0026926469100861782,,,,6,,,0.00021930485556643703,,COMPLETE
4,4,33.333333333333336,2025-05-24 19:50:11.779910,2025-05-24 19:50:16.864545,0 days 00:00:05.084635,Adadelta,0.4744427686266666,5.456725485601478,,,,,,0,0.5762487216478605,,,,COMPLETE
5,5,35.416666666666664,2025-05-24 19:50:16.906507,2025-05-24 19:50:23.343175,0 days 00:00:06.436668,Adam,0.2475884550556351,,0.00017654048052495074,,,,,1,,1.2030178871154673,,,PRUNED
6,6,33.333333333333336,2025-05-24 19:50:23.378505,2025-05-24 19:50:33.106650,0 days 00:00:09.728145,Adadelta,0.09242722776276352,2.463768595899747,,,,,,7,48.696409415209004,,,,PRUNED
7,7,33.333333333333336,2025-05-24 19:50:33.141645,2025-05-24 19:50:39.750782,0 days 00:00:06.609137,AdamW,0.0979914312095726,,,0.02065142557895925,,,,1,,,0.0005170191786366995,,PRUNED
8,8,33.333333333333336,2025-05-24 19:50:39.778623,2025-05-24 19:50:46.382084,0 days 00:00:06.603461,SGD,0.27134804157912423,,,,0.012273800987852962,0.5621564911890039,True,3,,,,0.06235377135673159,PRUNED
9,9,,2025-05-24 19:50:46.418650,2025-05-24 19:50:52.309245,0 days 00:00:05.890595,SGD,0.38563517334297287,,,,0.0031130959561221226,6.365199445099503,False,10,,,,0.2106648601704221,PRUNED
10,10,29.166666666666668,2025-05-24 19:50:52.342968,2025-05-24 19:50:58.301089,0 days 00:00:05.958121,AdamW,0.0029985914779085965,,,1.1799062523159256e-05,,,,13,,,0.006630907782559361,,PRUNED
11,11,50.0,2025-05-24 19:50:58.335413,2025-05-24 19:51:09.559156,0 days 00:00:11.223743,Adam,0.2687772072034616,,1.4185357673699857e-05,,,,,9,,0.011200687440843897,,,COMPLETE
12,12,33.333333333333336,2025-05-24 19:51:09.609588,2025-05-24 19:51:16.586494,0 days 00:00:06.976906,Adam,0.2280781684174102,,0.05695066179412926,,,,,10,,0.013299972137426787,,,PRUNED
