,number,value,datetime_start,datetime_complete,duration,params_algorithm,params_dropout_rate,params_lr_Adadelta,params_lr_Adam,params_lr_AdamW,params_lr_SGD,params_momentum_SGD,params_nesterov_SGD,params_suggested_freeze,params_weight_decay_Adadelta,params_weight_decay_Adam,params_weight_decay_AdamW,params_weight_decay_SGD,state
0,0,37.5,2025-05-25 10:05:41.242030,2025-05-25 10:05:52.791200,0 days 00:00:11.549170,Adadelta,0.4753571532049581,0.017073967431528128,,,,,,5,29.154431891537552,,,,COMPLETE
1,1,50.0,2025-05-25 10:05:52.849128,2025-05-25 10:06:03.852491,0 days 00:00:11.003363,Adam,0.35403628889802274,,5.3370327626039544e-05,,,,,8,,0.05415244119402541,,,COMPLETE
2,2,47.916666666666664,2025-05-25 10:06:03.902500,2025-05-25 10:06:15.039460,0 days 00:00:11.136960,AdamW,0.2623782158161189,,,0.00014742753159914678,,,,4,,,0.0005404103854647331,,COMPLETE
3,3,33.333333333333336,2025-05-25 10:06:15.089362,2025-05-25 10:06:26.198952,0 days 00:00:11.109590,AdamW,0.3925879806965068,,,0.0026926469100861782,,,,6,,,0.00021930485556643703,,COMPLETE
4,4,33.333333333333336,2025-05-25 10:06:26.248530,2025-05-25 10:06:37.465163,0 days 00:00:11.216633,Adadelta,0.4744427686266666,5.456725485601478,,,,,,0,0.5762487216478605,,,,COMPLETE
5,5,35.416666666666664,2025-05-25 10:06:37.514885,2025-05-25 10:06:48.593955,0 days 00:00:11.079070,Adam,0.2475884550556351,,0.00017654048052495074,,,,,1,,1.2030178871154673,,,COMPLETE
6,6,33.333333333333336,2025-05-25 10:06:48.642870,2025-05-25 10:06:57.748211,0 days 00:00:09.105341,Adadelta,0.09242722776276352,2.463768595899747,,,,,,7,48.696409415209004,,,,PRUNED
7,7,33.333333333333336,2025-05-25 10:06:57.782522,2025-05-25 10:07:06.730073,0 days 00:00:08.947551,AdamW,0.0979914312095726,,,0.02065142557895925,,,,1,,,0.0005170191786366995,,PRUNED
8,8,33.333333333333336,2025-05-25 10:07:06.764570,2025-05-25 10:07:15.674855,0 days 00:00:08.910285,SGD,0.27134804157912423,,,,0.012273800987852962,0.5621564911890039,True,3,,,,0.06235377135673159,PRUNED
9,9,,2025-05-25 10:07:15.709977,2025-05-25 10:07:21.525806,0 days 00:00:05.815829,SGD,0.38563517334297287,,,,0.0031130959561221226,6.365199445099503,False,10,,,,0.2106648601704221,PRUNED
10,10,31.25,2025-05-25 10:07:21.585746,2025-05-25 10:07:27.513369,0 days 00:00:05.927623,Adam,0.0029985914779085965,,1.1799062523159256e-05,,,,,13,,0.011627478296224469,,,PRUNED
11,11,29.166666666666668,2025-05-25 10:07:27.548493,2025-05-25 10:07:36.595922,0 days 00:00:09.047429,Adam,0.2687772072034616,,0.06135465318705142,,,,,9,,0.020123694972889298,,,PRUNED
