,number,value,datetime_start,datetime_complete,duration,params_algorithm,params_dropout_rate,params_lr_Adadelta,params_lr_Adam,params_lr_AdamW,params_lr_SGD,params_momentum_SGD,params_nesterov_SGD,params_suggested_freeze,params_weight_decay_Adadelta,params_weight_decay_Adam,params_weight_decay_AdamW,params_weight_decay_SGD,state
0,0,43.75,2025-05-24 21:22:55.931702,2025-05-24 21:23:32.629902,0 days 00:00:36.698200,Adadelta,0.4753571532049581,0.017073967431528128,,,,,,3,29.154431891537552,,,,COMPLETE
1,1,47.916666666666664,2025-05-24 21:23:32.687722,2025-05-24 21:24:03.885872,0 days 00:00:31.198150,Adam,0.35403628889802274,,5.3370327626039544e-05,,,,,5,,0.05415244119402541,,,COMPLETE
2,2,52.083333333333336,2025-05-24 21:24:03.935078,2025-05-24 21:24:36.056702,0 days 00:00:32.121624,AdamW,0.2623782158161189,,,0.00014742753159914678,,,,2,,,0.0005404103854647331,,COMPLETE
3,3,33.333333333333336,2025-05-24 21:24:36.115266,2025-05-24 21:25:07.370055,0 days 00:00:31.254789,AdamW,0.3925879806965068,,,0.0026926469100861782,,,,4,,,0.00021930485556643703,,COMPLETE
4,4,33.333333333333336,2025-05-24 21:25:07.419598,2025-05-24 21:25:40.085126,0 days 00:00:32.665528,Adadelta,0.4744427686266666,5.456725485601478,,,,,,0,0.5762487216478605,,,,COMPLETE
5,5,52.083333333333336,2025-05-24 21:25:40.135567,2025-05-24 21:26:05.421235,0 days 00:00:25.285668,Adam,0.2475884550556351,,0.00017654048052495074,,,,,1,,1.2030178871154673,,,COMPLETE
6,6,33.333333333333336,2025-05-24 21:26:05.461026,2025-05-24 21:26:23.201407,0 days 00:00:17.740381,Adadelta,0.09242722776276352,2.463768595899747,,,,,,4,48.696409415209004,,,,PRUNED
7,7,33.333333333333336,2025-05-24 21:26:23.236070,2025-05-24 21:26:41.326330,0 days 00:00:18.090260,AdamW,0.0979914312095726,,,0.02065142557895925,,,,0,,,0.0005170191786366995,,PRUNED
8,8,33.333333333333336,2025-05-24 21:26:41.360836,2025-05-24 21:26:53.734904,0 days 00:00:12.374068,SGD,0.27134804157912423,,,,0.012273800987852962,0.5621564911890039,True,2,,,,0.06235377135673159,PRUNED
9,9,33.333333333333336,2025-05-24 21:26:53.770606,2025-05-24 21:27:10.254615,0 days 00:00:16.484009,SGD,0.38563517334297287,,,,0.0031130959561221226,6.365199445099503,False,6,,,,0.2106648601704221,PRUNED
10,10,27.083333333333332,2025-05-24 21:27:10.291238,2025-05-24 21:27:36.855789,0 days 00:00:26.564551,AdamW,0.0029985914779085965,,,1.1799062523159256e-05,,,,8,,,0.006630907782559361,,PRUNED
11,11,33.333333333333336,2025-05-24 21:27:36.895892,2025-05-24 21:28:01.254833,0 days 00:00:24.358941,Adam,0.21137566250973713,,0.009520145760425397,,,,,2,,18.077272553134513,,,PRUNED
12,12,31.25,2025-05-24 21:28:01.289698,2025-05-24 21:28:20.981151,0 days 00:00:19.691453,Adam,0.2280781684174102,,0.000145806698847743,,,,,1,,1.407703659199024,,,PRUNED
13,13,33.333333333333336,2025-05-24 21:28:21.015216,2025-05-24 21:28:45.069176,0 days 00:00:24.053960,Adam,0.28664548882561447,,0.002223892167260502,,,,,2,,0.35512137719444403,,,PRUNED
14,14,64.58333333333333,2025-05-24 21:28:45.113516,2025-05-24 21:29:16.613506,0 days 00:00:31.499990,AdamW,0.16257126696618518,,,5.107684925222934e-05,,,,1,,,0.0025253710106474536,,COMPLETE
15,15,58.333333333333336,2025-05-24 21:29:16.664563,2025-05-24 21:29:47.418475,0 days 00:00:30.753912,AdamW,0.14808317204514113,,,4.839668264505077e-05,,,,3,,,0.0021601863672613586,,COMPLETE
16,16,47.916666666666664,2025-05-24 21:29:47.468924,2025-05-24 21:30:14.832755,0 days 00:00:27.363831,AdamW,0.1399954876351523,,,3.091592599668577e-05,,,,6,,,0.003944479816467623,,PRUNED
17,17,33.333333333333336,2025-05-24 21:30:14.876522,2025-05-24 21:30:39.119083,0 days 00:00:24.242561,AdamW,0.16288708884746878,,,0.0003230170128868152,,,,3,,,0.002192593935913539,,PRUNED
18,18,56.25,2025-05-24 21:30:39.154000,2025-05-24 21:31:10.850672,0 days 00:00:31.696672,AdamW,0.01811884405994857,,,5.6861741806643255e-05,,,,1,,,0.002117035515125565,,COMPLETE
19,19,33.333333333333336,2025-05-24 21:31:10.900803,2025-05-24 21:31:33.731789,0 days 00:00:22.830986,AdamW,0.17225925216346163,,,0.0007748755752908133,,,,4,,,0.0013068856378153323,,PRUNED
20,20,31.25,2025-05-24 21:31:33.761012,2025-05-24 21:31:40.665918,0 days 00:00:06.904906,SGD,0.06335423743148177,,,,2.025934909325147e-05,88.37749112170019,True,8,,,,71.38393633927497,PRUNED
21,21,52.083333333333336,2025-05-24 21:31:40.693733,2025-05-24 21:31:54.552696,0 days 00:00:13.858963,AdamW,0.00479789600916028,,,5.999198528595586e-05,,,,1,,,0.00231748617337115,,COMPLETE
22,22,58.333333333333336,2025-05-24 21:31:54.602056,2025-05-24 21:32:23.108897,0 days 00:00:28.506841,AdamW,0.052459346547832145,,,5.288713490956668e-05,,,,0,,,0.002259368050220076,,COMPLETE
23,23,64.58333333333333,2025-05-24 21:32:23.147850,2025-05-24 21:32:41.640414,0 days 00:00:18.492564,AdamW,0.12110791015365835,,,1.3970734935405238e-05,,,,0,,,0.009723232795371139,,COMPLETE
24,24,33.333333333333336,2025-05-24 21:32:41.690655,2025-05-24 21:33:01.400226,0 days 00:00:19.709571,AdamW,0.13115647705244074,,,1.0039855794080832e-05,,,,3,,,0.00738424928402442,,PRUNED
