,number,value,datetime_start,datetime_complete,duration,params_algorithm,params_dropout_rate,params_lr_Adadelta,params_lr_Adam,params_lr_AdamW,params_lr_SGD,params_momentum_SGD,params_nesterov_SGD,params_suggested_freeze,params_weight_decay_Adadelta,params_weight_decay_Adam,params_weight_decay_AdamW,params_weight_decay_SGD,state
0,0,43.75,2025-05-25 11:50:21.236003,2025-05-25 11:50:53.171497,0 days 00:00:31.935494,Adadelta,0.4753571532049581,0.017073967431528128,,,,,,3,29.154431891537552,,,,COMPLETE
1,1,60.416666666666664,2025-05-25 11:50:53.229242,2025-05-25 11:51:23.809802,0 days 00:00:30.580560,Adam,0.35403628889802274,,5.3370327626039544e-05,,,,,5,,0.05415244119402541,,,COMPLETE
2,2,77.08333333333333,2025-05-25 11:51:23.860714,2025-05-25 11:51:55.072548,0 days 00:00:31.211834,AdamW,0.2623782158161189,,,0.00014742753159914678,,,,2,,,0.0005404103854647331,,COMPLETE
3,3,33.333333333333336,2025-05-25 11:51:55.123727,2025-05-25 11:52:25.801360,0 days 00:00:30.677633,AdamW,0.3925879806965068,,,0.0026926469100861782,,,,4,,,0.00021930485556643703,,COMPLETE
4,4,33.333333333333336,2025-05-25 11:52:25.851743,2025-05-25 11:52:57.224471,0 days 00:00:31.372728,Adadelta,0.4744427686266666,5.456725485601478,,,,,,0,0.5762487216478605,,,,COMPLETE
5,5,56.25,2025-05-25 11:52:57.274714,2025-05-25 11:53:28.598116,0 days 00:00:31.323402,Adam,0.2475884550556351,,0.00017654048052495074,,,,,1,,1.2030178871154673,,,COMPLETE
6,6,33.333333333333336,2025-05-25 11:53:28.647814,2025-05-25 11:53:48.129512,0 days 00:00:19.481698,Adadelta,0.09242722776276352,2.463768595899747,,,,,,4,48.696409415209004,,,,PRUNED
7,7,33.333333333333336,2025-05-25 11:53:48.165222,2025-05-25 11:54:08.166936,0 days 00:00:20.001714,AdamW,0.0979914312095726,,,0.02065142557895925,,,,0,,,0.0005170191786366995,,PRUNED
8,8,33.333333333333336,2025-05-25 11:54:08.202289,2025-05-25 11:54:27.530881,0 days 00:00:19.328592,SGD,0.27134804157912423,,,,0.012273800987852962,0.5621564911890039,True,2,,,,0.06235377135673159,PRUNED
9,9,33.333333333333336,2025-05-25 11:54:27.565347,2025-05-25 11:54:46.378889,0 days 00:00:18.813542,SGD,0.38563517334297287,,,,0.0031130959561221226,6.365199445099503,False,6,,,,0.2106648601704221,PRUNED
