,number,value,datetime_start,datetime_complete,duration,params_algorithm,params_dropout_rate,params_lr_Adadelta,params_lr_Adam,params_lr_AdamW,params_lr_SGD,params_momentum_SGD,params_nesterov_SGD,params_suggested_freeze,params_weight_decay_Adadelta,params_weight_decay_Adam,params_weight_decay_AdamW,params_weight_decay_SGD,state
0,0,25.0,2025-05-25 21:16:10.158088,2025-05-25 21:16:40.865252,0 days 00:00:30.707164,Adadelta,0.4753571532049581,0.017073967431528128,,,,,,3,29.154431891537552,,,,COMPLETE
1,1,43.75,2025-05-25 21:16:40.920027,2025-05-25 21:17:02.797863,0 days 00:00:21.877836,Adam,0.35403628889802274,,5.3370327626039544e-05,,,,,6,,0.05415244119402541,,,COMPLETE
2,2,66.66666666666667,2025-05-25 21:17:02.844889,2025-05-25 21:17:27.972423,0 days 00:00:25.127534,AdamW,0.2623782158161189,,,0.00014742753159914678,,,,3,,,0.0005404103854647331,,COMPLETE
3,3,35.416666666666664,2025-05-25 21:17:28.020967,2025-05-25 21:17:52.773319,0 days 00:00:24.752352,AdamW,0.3925879806965068,,,0.0026926469100861782,,,,4,,,0.00021930485556643703,,COMPLETE
4,4,33.333333333333336,2025-05-25 21:17:52.819085,2025-05-25 21:18:19.460642,0 days 00:00:26.641557,Adadelta,0.4744427686266666,5.456725485601478,,,,,,0,0.5762487216478605,,,,COMPLETE
5,5,56.25,2025-05-25 21:18:19.507454,2025-05-25 21:18:45.419971,0 days 00:00:25.912517,Adam,0.2475884550556351,,0.00017654048052495074,,,,,1,,1.2030178871154673,,,COMPLETE
6,6,33.333333333333336,2025-05-25 21:18:45.466020,2025-05-25 21:18:56.732854,0 days 00:00:11.266834,Adadelta,0.09242722776276352,2.463768595899747,,,,,,5,48.696409415209004,,,,PRUNED
7,7,33.333333333333336,2025-05-25 21:18:56.764635,2025-05-25 21:19:08.787272,0 days 00:00:12.022637,AdamW,0.0979914312095726,,,0.02065142557895925,,,,0,,,0.0005170191786366995,,PRUNED
8,8,54.166666666666664,2025-05-25 21:19:08.838127,2025-05-25 21:19:33.507442,0 days 00:00:24.669315,SGD,0.27134804157912423,,,,0.012273800987852962,0.5621564911890039,True,2,,,,0.06235377135673159,COMPLETE
9,9,,2025-05-25 21:19:33.555059,2025-05-25 21:19:41.007011,0 days 00:00:07.451952,SGD,0.38563517334297287,,,,0.0031130959561221226,6.365199445099503,False,7,,,,0.2106648601704221,PRUNED
10,10,35.416666666666664,2025-05-25 21:19:41.050382,2025-05-25 21:19:50.432533,0 days 00:00:09.382151,AdamW,0.0029985914779085965,,,1.1799062523159256e-05,,,,9,,,0.006630907782559361,,PRUNED
11,11,33.333333333333336,2025-05-25 21:19:50.463338,2025-05-25 21:20:02.522976,0 days 00:00:12.059638,Adam,0.21137566250973713,,0.009520145760425397,,,,,2,,18.077272553134513,,,PRUNED
12,12,31.25,2025-05-25 21:20:02.574411,2025-05-25 21:20:11.090794,0 days 00:00:08.516383,Adam,0.2280781684174102,,0.000145806698847743,,,,,2,,1.407703659199024,,,PRUNED
13,13,33.333333333333336,2025-05-25 21:20:11.139448,2025-05-25 21:20:22.947949,0 days 00:00:11.808501,Adam,0.28664548882561447,,0.002223892167260502,,,,,1,,0.35512137719444403,,,PRUNED
14,14,39.583333333333336,2025-05-25 21:20:22.978658,2025-05-25 21:20:34.449656,0 days 00:00:11.470998,AdamW,0.16257126696618518,,,5.107684925222934e-05,,,,4,,,0.0025253710106474536,,PRUNED
15,15,33.333333333333336,2025-05-25 21:20:34.481336,2025-05-25 21:20:46.823888,0 days 00:00:12.342552,Adam,0.31919255274718644,,0.07408766950364654,,,,,3,,78.84947017693176,,,PRUNED
16,16,56.25,2025-05-25 21:20:46.874697,2025-05-25 21:21:12.583283,0 days 00:00:25.708586,AdamW,0.17056861336032456,,,0.00025862000456164624,,,,1,,,0.0009279210437819647,,COMPLETE
17,17,,2025-05-25 21:21:12.630749,2025-05-25 21:21:19.347830,0 days 00:00:06.717081,SGD,0.1648554064714305,,,,1.533653919754068e-05,99.82036515505162,False,6,,,,96.3979853269096,PRUNED
18,18,39.583333333333336,2025-05-25 21:21:19.393802,2025-05-25 21:21:31.187703,0 days 00:00:11.793901,Adam,0.3147701894425595,,1.5164788190333841e-05,,,,,3,,2.2824118180728052,,,PRUNED
19,19,33.333333333333336,2025-05-25 21:21:31.219166,2025-05-25 21:21:40.640118,0 days 00:00:09.420952,AdamW,0.08763681348248481,,,0.0005612681845228658,,,,1,,,0.0001834224029910255,,PRUNED
20,20,43.75,2025-05-25 21:21:40.688395,2025-05-25 21:21:58.453430,0 days 00:00:17.765035,AdamW,0.41574073761834773,,,0.0070502558223346475,,,,9,,,0.00010068006054476865,,PRUNED
21,21,56.25,2025-05-25 21:21:58.502919,2025-05-25 21:22:25.098788,0 days 00:00:26.595869,AdamW,0.1863410003955583,,,0.00023359216898703668,,,,1,,,0.000843515864555197,,COMPLETE
22,22,35.416666666666664,2025-05-25 21:22:25.144450,2025-05-25 21:22:34.441766,0 days 00:00:09.297316,AdamW,0.23620246384458124,,,0.00010966275250819472,,,,0,,,0.0017371645903266628,,PRUNED
23,23,37.5,2025-05-25 21:22:34.490007,2025-05-25 21:22:46.598851,0 days 00:00:12.108844,AdamW,0.14938035933009092,,,0.0008095266864103454,,,,2,,,0.0005095359146920058,,PRUNED
24,24,50.0,2025-05-25 21:22:46.648129,2025-05-25 21:23:12.582058,0 days 00:00:25.933929,AdamW,0.25800065840717684,,,3.22338671052042e-05,,,,1,,,0.0015533870194792982,,PRUNED
25,25,47.916666666666664,2025-05-25 21:23:12.617910,2025-05-25 21:23:38.620058,0 days 00:00:26.002148,Adam,0.13200631543328034,,0.0003955292386203548,,,,,3,,0.01065871715539099,,,COMPLETE
26,26,33.333333333333336,2025-05-25 21:23:38.667459,2025-05-25 21:23:47.226221,0 days 00:00:08.558762,Adadelta,0.030377331518590067,70.86265981507286,,,,,,0,0.011374120848144542,,,,PRUNED
27,27,,2025-05-25 21:23:47.277562,2025-05-25 21:23:55.187001,0 days 00:00:07.909439,SGD,0.2068132887632992,,,,2.1955406170909978e-05,72.34742013520606,True,4,,,,21.790285654171427,PRUNED
28,28,33.333333333333336,2025-05-25 21:23:55.218191,2025-05-25 21:24:04.043568,0 days 00:00:08.825377,AdamW,0.30561467741412063,,,0.08418841767904232,,,,1,,,0.0005114187209362978,,PRUNED
29,29,31.25,2025-05-25 21:24:04.097573,2025-05-25 21:24:12.613007,0 days 00:00:08.515434,Adadelta,0.34314542310861634,0.0163326397242079,,,,,,3,0.010094931633979147,,,,PRUNED
30,30,33.333333333333336,2025-05-25 21:24:12.664390,2025-05-25 21:24:21.964695,0 days 00:00:09.300305,Adam,0.2523571380476008,,0.0017837062520581533,,,,,2,,0.21363197307902107,,,PRUNED
31,31,56.25,2025-05-25 21:24:22.016404,2025-05-25 21:24:48.337866,0 days 00:00:26.321462,AdamW,0.1967278050286843,,,0.00024799380826424905,,,,1,,,0.0010313264380231188,,COMPLETE
32,32,52.083333333333336,2025-05-25 21:24:48.384313,2025-05-25 21:25:14.930000,0 days 00:00:26.545687,AdamW,0.17086797610957505,,,0.0002454295838796298,,,,1,,,0.0007548862205185658,,COMPLETE
33,33,39.583333333333336,2025-05-25 21:25:14.976427,2025-05-25 21:25:24.222815,0 days 00:00:09.246388,AdamW,0.12238683374516404,,,0.00016198617484004398,,,,0,,,0.000310130684656636,,PRUNED
34,34,39.583333333333336,2025-05-25 21:25:24.253488,2025-05-25 21:25:32.754747,0 days 00:00:08.501259,AdamW,0.18725727277258086,,,0.0020514326586732984,,,,5,,,0.0010539265897610665,,PRUNED
35,35,37.5,2025-05-25 21:25:32.804767,2025-05-25 21:25:41.604280,0 days 00:00:08.799513,AdamW,0.230218350806608,,,4.8734984220654607e-05,,,,2,,,0.0034753952537148213,,PRUNED
36,36,29.166666666666668,2025-05-25 21:25:41.636268,2025-05-25 21:25:50.943331,0 days 00:00:09.307063,Adadelta,0.06535665944916182,0.18196467231102068,,,,,,3,0.5979116257704502,,,,PRUNED
37,37,58.333333333333336,2025-05-25 21:25:50.993904,2025-05-25 21:26:17.273388,0 days 00:00:26.279484,AdamW,0.274331413203147,,,0.0004766916451540554,,,,0,,,0.0007781211636834589,,COMPLETE
38,38,25.0,2025-05-25 21:26:17.320319,2025-05-25 21:26:26.615525,0 days 00:00:09.295206,Adam,0.2840364087344631,,1.0959162285180438e-05,,,,,0,,7.601795022689259,,,PRUNED
39,39,,2025-05-25 21:26:26.664065,2025-05-25 21:26:34.324387,0 days 00:00:07.660322,SGD,0.3516604219722991,,,,0.05754842223228842,41.912623562096805,True,0,,,,0.012786327231311106,PRUNED
40,40,31.25,2025-05-25 21:26:34.355898,2025-05-25 21:26:41.735263,0 days 00:00:07.379365,AdamW,0.3879272588803762,,,0.0005654204401653112,,,,8,,,0.00046730644876514057,,PRUNED
41,41,58.333333333333336,2025-05-25 21:26:41.778740,2025-05-25 21:27:08.247411,0 days 00:00:26.468671,AdamW,0.27436015791342777,,,0.00030804125779561407,,,,1,,,0.0008265376586658506,,COMPLETE
42,42,39.583333333333336,2025-05-25 21:27:08.296077,2025-05-25 21:27:17.394063,0 days 00:00:09.097986,AdamW,0.27083141838752606,,,0.001106765796122211,,,,0,,,0.0013071668172368804,,PRUNED
43,43,37.5,2025-05-25 21:27:17.448743,2025-05-25 21:27:26.451842,0 days 00:00:09.003099,AdamW,0.3006884374836473,,,0.00011391161721159664,,,,2,,,0.0007199252326323379,,PRUNED
44,44,41.666666666666664,2025-05-25 21:27:26.506102,2025-05-25 21:27:38.424784,0 days 00:00:11.918682,AdamW,0.33399255413624607,,,0.0004021799832606918,,,,1,,,0.0003477237108437519,,PRUNED
45,45,33.333333333333336,2025-05-25 21:27:38.477726,2025-05-25 21:27:47.047071,0 days 00:00:08.569345,AdamW,0.21713152449899054,,,0.0017859440651664137,,,,2,,,0.0022176865770851782,,PRUNED
46,46,33.333333333333336,2025-05-25 21:27:47.131389,2025-05-25 21:27:56.557388,0 days 00:00:09.425999,Adam,0.4322720171024576,,0.013684017976145506,,,,,1,,0.09665940411672941,,,PRUNED
47,47,33.333333333333336,2025-05-25 21:27:56.608199,2025-05-25 21:28:05.548479,0 days 00:00:08.940280,Adadelta,0.24379646748543782,98.43155468624178,,,,,,4,5.267252528532205,,,,PRUNED
48,48,,2025-05-25 21:28:05.594629,2025-05-25 21:28:13.677799,0 days 00:00:08.083170,SGD,0.3670638359092233,,,,0.00027789999796458707,40.21422937874007,False,0,,,,2.3260636558383525,PRUNED
49,49,39.583333333333336,2025-05-25 21:28:13.709391,2025-05-25 21:28:22.252678,0 days 00:00:08.543287,AdamW,0.2732190744384836,,,9.51657524829703e-05,,,,5,,,0.0006999594307033838,,PRUNED
50,50,37.5,2025-05-25 21:28:22.300540,2025-05-25 21:28:30.919134,0 days 00:00:08.618594,Adam,0.29059357798217944,,0.0003830997984674836,,,,,6,,7.431390775723365,,,PRUNED
51,51,37.5,2025-05-25 21:28:30.950245,2025-05-25 21:28:39.638386,0 days 00:00:08.688141,AdamW,0.22020278320744943,,,0.00023055785833756733,,,,1,,,0.0008615107477674688,,PRUNED
52,52,62.5,2025-05-25 21:28:39.691096,2025-05-25 21:29:05.493235,0 days 00:00:25.802139,AdamW,0.18317312569284674,,,0.000322657298374375,,,,2,,,0.0011687979880386046,,COMPLETE
53,53,60.416666666666664,2025-05-25 21:29:05.540897,2025-05-25 21:29:31.799254,0 days 00:00:26.258357,AdamW,0.25985706130841246,,,0.0004329036298474916,,,,2,,,0.0012888642216000792,,COMPLETE
54,54,33.333333333333336,2025-05-25 21:29:31.846392,2025-05-25 21:29:40.661583,0 days 00:00:08.815191,AdamW,0.32666088957603356,,,0.0010368668453255906,,,,2,,,0.0012785316264712244,,PRUNED
55,55,52.083333333333336,2025-05-25 21:29:40.714858,2025-05-25 21:30:06.977036,0 days 00:00:26.262178,AdamW,0.2766726377512983,,,0.00043745754713666094,,,,3,,,0.0020389980462123666,,COMPLETE
56,56,33.333333333333336,2025-05-25 21:30:07.023006,2025-05-25 21:30:16.259921,0 days 00:00:09.236915,AdamW,0.25551688444652754,,,0.003771777433677031,,,,3,,,0.003311176299436031,,PRUNED
57,57,29.166666666666668,2025-05-25 21:30:16.310282,2025-05-25 21:30:39.103513,0 days 00:00:22.793231,Adam,0.24021352364743842,,5.2695663885402994e-05,,,,,2,,0.569877191386087,,,PRUNED
58,58,33.333333333333336,2025-05-25 21:30:39.159083,2025-05-25 21:30:47.298894,0 days 00:00:08.139811,AdamW,0.19908153134332568,,,0.0004576420425337221,,,,4,,,0.00035248004955329063,,PRUNED
59,59,39.583333333333336,2025-05-25 21:30:47.330415,2025-05-25 21:30:56.323567,0 days 00:00:08.993152,AdamW,0.30527217595162165,,,6.849905332388105e-05,,,,2,,,0.0012790058364558876,,PRUNED
60,60,,2025-05-25 21:30:56.356414,2025-05-25 21:31:03.804562,0 days 00:00:07.448148,SGD,0.14797816368806632,,,,0.00025249330820407544,72.85094504209715,True,1,,,,2.50375389085033,PRUNED
61,61,37.5,2025-05-25 21:31:03.834155,2025-05-25 21:31:12.244812,0 days 00:00:08.410657,AdamW,0.2650291931174219,,,0.00016068493543367463,,,,1,,,0.0005963914645571592,,PRUNED
62,62,43.75,2025-05-25 21:31:12.297509,2025-05-25 21:31:38.381185,0 days 00:00:26.083676,AdamW,0.17858690651309111,,,0.0003377935826580289,,,,0,,,0.0008999135936484314,,COMPLETE
63,63,33.333333333333336,2025-05-25 21:31:38.450385,2025-05-25 21:31:47.339529,0 days 00:00:08.889144,AdamW,0.12112164780579587,,,0.0008560666224974447,,,,2,,,0.001060397587125013,,PRUNED
64,64,31.25,2025-05-25 21:31:47.392493,2025-05-25 21:31:56.727655,0 days 00:00:09.335162,AdamW,0.223738845346677,,,2.84102597305805e-05,,,,1,,,0.0005959983042441794,,PRUNED
65,65,60.416666666666664,2025-05-25 21:31:56.778500,2025-05-25 21:32:22.834349,0 days 00:00:26.055849,AdamW,0.14515411094880076,,,0.00017224850833392403,,,,2,,,0.0013904404478797447,,COMPLETE
66,66,33.333333333333336,2025-05-25 21:32:22.881899,2025-05-25 21:32:32.022451,0 days 00:00:09.140552,Adam,0.09699088754309078,,0.005891542384682673,,,,,3,,0.018170839173709777,,,PRUNED
67,67,29.166666666666668,2025-05-25 21:32:32.054290,2025-05-25 21:32:40.819745,0 days 00:00:08.765455,AdamW,0.486973879508497,,,0.00015400487579081377,,,,2,,,0.0016845699920187789,,PRUNED
68,68,33.333333333333336,2025-05-25 21:32:40.873927,2025-05-25 21:32:49.545736,0 days 00:00:08.671809,Adadelta,0.15345171505202987,0.2462630580105119,,,,,,2,0.10932296104921217,,,,PRUNED
69,69,37.5,2025-05-25 21:32:49.612047,2025-05-25 21:32:58.401344,0 days 00:00:08.789297,AdamW,0.24635603763762345,,,0.0005395408941859551,,,,3,,,0.0013982582222410026,,PRUNED
70,70,27.083333333333332,2025-05-25 21:32:58.433893,2025-05-25 21:33:07.358831,0 days 00:00:08.924938,AdamW,0.0736122232546783,,,7.43482662614633e-05,,,,1,,,0.0027237615999148317,,PRUNED
