,number,value,datetime_start,datetime_complete,duration,params_algorithm,params_dropout_rate,params_lr_Adadelta,params_lr_Adam,params_lr_AdamW,params_lr_SGD,params_momentum_SGD,params_nesterov_SGD,params_suggested_freeze,params_weight_decay_Adadelta,params_weight_decay_Adam,params_weight_decay_AdamW,params_weight_decay_SGD,state
0,0,33.333333333333336,2025-05-25 05:12:24.864512,2025-05-25 05:12:35.864595,0 days 00:00:11.000083,Adadelta,0.4753571532049581,0.017073967431528128,,,,,,11,29.154431891537552,,,,COMPLETE
1,1,37.5,2025-05-25 05:12:35.922395,2025-05-25 05:12:48.301062,0 days 00:00:12.378667,Adam,0.35403628889802274,,5.3370327626039544e-05,,,,,19,,0.05415244119402541,,,COMPLETE
2,2,29.166666666666668,2025-05-25 05:12:48.350623,2025-05-25 05:12:59.283070,0 days 00:00:10.932447,AdamW,0.2623782158161189,,,0.00014742753159914678,,,,9,,,0.0005404103854647331,,COMPLETE
3,3,33.333333333333336,2025-05-25 05:12:59.321840,2025-05-25 05:13:10.199233,0 days 00:00:10.877393,AdamW,0.3925879806965068,,,0.0026926469100861782,,,,14,,,0.00021930485556643703,,COMPLETE
4,4,33.333333333333336,2025-05-25 05:13:10.249914,2025-05-25 05:13:22.385767,0 days 00:00:12.135853,Adadelta,0.4744427686266666,5.456725485601478,,,,,,2,0.5762487216478605,,,,COMPLETE
5,5,52.083333333333336,2025-05-25 05:13:22.436785,2025-05-25 05:13:36.535369,0 days 00:00:14.098584,Adam,0.2475884550556351,,0.00017654048052495074,,,,,3,,1.2030178871154673,,,COMPLETE
6,6,33.333333333333336,2025-05-25 05:13:36.586584,2025-05-25 05:13:46.104245,0 days 00:00:09.517661,Adadelta,0.09242722776276352,2.463768595899747,,,,,,17,48.696409415209004,,,,COMPLETE
7,7,33.333333333333336,2025-05-25 05:13:46.154577,2025-05-25 05:14:00.825343,0 days 00:00:14.670766,AdamW,0.0979914312095726,,,0.02065142557895925,,,,2,,,0.0005170191786366995,,COMPLETE
8,8,37.5,2025-05-25 05:14:00.874718,2025-05-25 05:14:12.910765,0 days 00:00:12.036047,SGD,0.27134804157912423,,,,0.012273800987852962,0.5621564911890039,True,8,,,,0.06235377135673159,COMPLETE
9,9,33.333333333333336,2025-05-25 05:14:12.961164,2025-05-25 05:14:23.205577,0 days 00:00:10.244413,SGD,0.38563517334297287,,,,0.0031130959561221226,6.365199445099503,False,23,,,,0.2106648601704221,PRUNED
10,10,33.333333333333336,2025-05-25 05:14:23.232882,2025-05-25 05:14:33.222331,0 days 00:00:09.989449,Adam,0.0029985914779085965,,0.008677867436457916,,,,,30,,15.014564618033251,,,COMPLETE
11,11,29.166666666666668,2025-05-25 05:14:33.272238,2025-05-25 05:14:39.379489,0 days 00:00:06.107251,Adam,0.32347484927641995,,3.1260711108007855e-05,,,,,21,,0.031784244157476306,,,PRUNED
12,12,29.166666666666668,2025-05-25 05:14:39.413608,2025-05-25 05:14:44.222594,0 days 00:00:04.808986,Adam,0.1780456116674968,,7.687186129682777e-05,,,,,26,,0.263700662588761,,,PRUNED
13,13,39.583333333333336,2025-05-25 05:14:44.259359,2025-05-25 05:14:56.918718,0 days 00:00:12.659359,Adam,0.21355615281666585,,0.0003330093350773776,,,,,17,,1.6147487621964751,,,COMPLETE
14,14,35.416666666666664,2025-05-25 05:14:56.969059,2025-05-25 05:15:09.137660,0 days 00:00:12.168601,Adam,0.1738216710439381,,0.0009641958295232134,,,,,14,,4.361999801372571,,,COMPLETE
15,15,33.333333333333336,2025-05-25 05:15:09.184872,2025-05-25 05:15:22.803916,0 days 00:00:13.619044,Adam,0.1944592741769797,,0.0011399654597808386,,,,,5,,1.1615601662040336,,,COMPLETE
16,16,33.333333333333336,2025-05-25 05:15:22.843080,2025-05-25 05:15:35.893898,0 days 00:00:13.050818,Adam,0.2303454029449063,,0.0004768833467042744,,,,,0,,82.01599076242123,,,COMPLETE
17,17,35.416666666666664,2025-05-25 05:15:35.944066,2025-05-25 05:15:46.640403,0 days 00:00:10.696337,Adam,0.10592991582002781,,0.0003012247646880887,,,,,12,,0.8260710761458845,,,COMPLETE
18,18,,2025-05-25 05:15:46.685979,2025-05-25 05:15:52.252761,0 days 00:00:05.566782,SGD,0.30922478699919376,,,,3.908443370991221e-05,97.4924546650071,False,6,,,,25.319619734613873,PRUNED
19,19,33.333333333333336,2025-05-25 05:15:52.290249,2025-05-25 05:16:04.889234,0 days 00:00:12.598985,Adam,0.2235277002969614,,0.08525986234166626,,,,,25,,5.384071515998923,,,COMPLETE
20,20,27.083333333333332,2025-05-25 05:16:04.938924,2025-05-25 05:16:09.722955,0 days 00:00:04.784031,Adam,0.13788403882202435,,1.1706679618278217e-05,,,,,19,,0.23039739513107133,,,PRUNED
21,21,27.083333333333332,2025-05-25 05:16:09.756628,2025-05-25 05:16:22.414839,0 days 00:00:12.658211,Adam,0.36073499568272394,,9.732654303123127e-05,,,,,17,,0.04736319289981568,,,COMPLETE
22,22,41.666666666666664,2025-05-25 05:16:22.478992,2025-05-25 05:16:33.018718,0 days 00:00:10.539726,Adam,0.30132179090606526,,0.000141196640363914,,,,,20,,0.8013518705510608,,,COMPLETE
23,23,33.333333333333336,2025-05-25 05:16:33.068767,2025-05-25 05:16:45.630236,0 days 00:00:12.561469,Adam,0.2735611329610561,,0.00015735561829238414,,,,,21,,0.9181915511704529,,,COMPLETE
24,24,33.333333333333336,2025-05-25 05:16:45.680163,2025-05-25 05:16:55.374981,0 days 00:00:09.694818,Adam,0.3015145756374827,,0.002734972446722128,,,,,28,,3.15099878527756,,,COMPLETE
25,25,33.333333333333336,2025-05-25 05:16:55.424566,2025-05-25 05:17:05.369387,0 days 00:00:09.944821,Adam,0.4165880282790245,,0.00024007302963576348,,,,,16,,0.30178064038428276,,,PRUNED
26,26,33.333333333333336,2025-05-25 05:17:05.406080,2025-05-25 05:17:16.574767,0 days 00:00:11.168687,AdamW,0.20048311882612463,,,1.6462494656141686e-05,,,,12,,,0.00978075905358462,,COMPLETE
27,27,33.333333333333336,2025-05-25 05:17:16.625374,2025-05-25 05:17:24.412066,0 days 00:00:07.786692,SGD,0.14733218300974946,,,,1.8001158293361365e-05,68.54278835088991,True,23,,,,90.04727869618729,PRUNED
28,28,33.333333333333336,2025-05-25 05:17:24.447213,2025-05-25 05:17:34.066568,0 days 00:00:09.619355,Adadelta,0.2339528640710009,84.18841767904223,,,,,,20,0.014236305881279616,,,,PRUNED
29,29,27.083333333333332,2025-05-25 05:17:34.100065,2025-05-25 05:17:41.674718,0 days 00:00:07.574653,Adadelta,0.046525854755602225,0.0163326397242079,,,,,,10,0.010094931633979147,,,,PRUNED
30,30,33.333333333333336,2025-05-25 05:17:41.710030,2025-05-25 05:17:49.948665,0 days 00:00:08.238635,Adam,0.431437086360815,,2.339484639506941e-05,,,,,15,,14.964549037785341,,,PRUNED
31,31,33.333333333333336,2025-05-25 05:17:49.986717,2025-05-25 05:17:59.564942,0 days 00:00:09.578225,Adam,0.3452354285306122,,5.765222660366239e-05,,,,,18,,0.014805849264902488,,,COMPLETE
32,32,37.5,2025-05-25 05:17:59.604952,2025-05-25 05:18:12.192787,0 days 00:00:12.587835,Adam,0.29492911754624995,,0.00013372501428914556,,,,,22,,0.07194964246699825,,,COMPLETE
