,number,value,datetime_start,datetime_complete,duration,params_algorithm,params_dropout_rate,params_lr_Adadelta,params_lr_Adam,params_lr_AdamW,params_lr_SGD,params_momentum_SGD,params_nesterov_SGD,params_suggested_freeze,params_weight_decay_Adadelta,params_weight_decay_Adam,params_weight_decay_AdamW,params_weight_decay_SGD,state
0,0,35.416666666666664,2025-05-26 00:54:02.262515,2025-05-26 00:54:12.730063,0 days 00:00:10.467548,Adadelta,0.4753571532049581,0.017073967431528128,,,,,,11,29.154431891537552,,,,COMPLETE
1,1,25.0,2025-05-26 00:54:12.788106,2025-05-26 00:54:22.013581,0 days 00:00:09.225475,Adam,0.35403628889802274,,5.3370327626039544e-05,,,,,19,,0.05415244119402541,,,COMPLETE
2,2,35.416666666666664,2025-05-26 00:54:22.059794,2025-05-26 00:54:31.673100,0 days 00:00:09.613306,AdamW,0.2623782158161189,,,0.00014742753159914678,,,,9,,,0.0005404103854647331,,COMPLETE
3,3,43.75,2025-05-26 00:54:31.720486,2025-05-26 00:54:41.407756,0 days 00:00:09.687270,AdamW,0.3925879806965068,,,0.0026926469100861782,,,,14,,,0.00021930485556643703,,COMPLETE
4,4,33.333333333333336,2025-05-26 00:54:41.453380,2025-05-26 00:54:53.587062,0 days 00:00:12.133682,Adadelta,0.4744427686266666,5.456725485601478,,,,,,2,0.5762487216478605,,,,COMPLETE
5,5,41.666666666666664,2025-05-26 00:54:53.631349,2025-05-26 00:55:05.057722,0 days 00:00:11.426373,Adam,0.2475884550556351,,0.00017654048052495074,,,,,3,,1.2030178871154673,,,COMPLETE
6,6,33.333333333333336,2025-05-26 00:55:05.101871,2025-05-26 00:55:12.132220,0 days 00:00:07.030349,Adadelta,0.09242722776276352,2.463768595899747,,,,,,17,48.696409415209004,,,,PRUNED
7,7,33.333333333333336,2025-05-26 00:55:12.164119,2025-05-26 00:55:20.895124,0 days 00:00:08.731005,AdamW,0.0979914312095726,,,0.02065142557895925,,,,2,,,0.0005170191786366995,,PRUNED
8,8,33.333333333333336,2025-05-26 00:55:20.932180,2025-05-26 00:55:28.255349,0 days 00:00:07.323169,SGD,0.27134804157912423,,,,0.012273800987852962,0.5621564911890039,True,8,,,,0.06235377135673159,PRUNED
9,9,33.333333333333336,2025-05-26 00:55:28.290888,2025-05-26 00:55:35.870050,0 days 00:00:07.579162,SGD,0.38563517334297287,,,,0.0031130959561221226,6.365199445099503,False,23,,,,0.2106648601704221,PRUNED
10,10,54.166666666666664,2025-05-26 00:55:35.897696,2025-05-26 00:55:45.674395,0 days 00:00:09.776699,AdamW,0.0029985914779085965,,,0.00484256500515941,,,,30,,,0.00010753331646251153,,COMPLETE
11,11,43.75,2025-05-26 00:55:45.720893,2025-05-26 00:55:55.366027,0 days 00:00:09.645134,AdamW,0.007797399829228002,,,0.0032176187174456305,,,,29,,,0.00010173813558692418,,COMPLETE
12,12,45.833333333333336,2025-05-26 00:55:55.413373,2025-05-26 00:56:05.156666,0 days 00:00:09.743293,AdamW,0.1780456116674968,,,0.0017716419278767377,,,,31,,,0.00010817512739388823,,COMPLETE
13,13,50.0,2025-05-26 00:56:05.203276,2025-05-26 00:56:14.906102,0 days 00:00:09.702826,AdamW,0.10536019105413505,,,0.0003555582197048753,,,,31,,,0.006135141878939968,,COMPLETE
14,14,27.083333333333332,2025-05-26 00:56:14.953715,2025-05-26 00:56:19.451254,0 days 00:00:04.497539,AdamW,0.007536595527873308,,,2.215520063345732e-05,,,,26,,,0.009287363566332066,,PRUNED
15,15,37.5,2025-05-26 00:56:19.485988,2025-05-26 00:56:29.154897,0 days 00:00:09.668909,AdamW,0.09767194227160059,,,0.07408766950364654,,,,22,,,0.0037244194805508986,,PRUNED
16,16,29.166666666666668,2025-05-26 00:56:29.189143,2025-05-26 00:56:33.609538,0 days 00:00:04.420395,AdamW,0.15910720289473168,,,0.00022701605786719516,,,,27,,,0.0023793537960598537,,PRUNED
17,17,33.333333333333336,2025-05-26 00:56:33.644225,2025-05-26 00:56:39.263985,0 days 00:00:05.619760,SGD,0.05154906740445499,,,,1.533653919754068e-05,99.82036515505162,False,31,,,,96.3979853269096,PRUNED
18,18,33.333333333333336,2025-05-26 00:56:39.298887,2025-05-26 00:56:46.835347,0 days 00:00:07.536460,Adam,0.170071342737794,,0.07937580731016337,,,,,25,,95.53772735801623,,,PRUNED
19,19,39.583333333333336,2025-05-26 00:56:46.866856,2025-05-26 00:56:56.411256,0 days 00:00:09.544400,AdamW,0.05966378732022452,,,0.00022324006155543144,,,,21,,,0.0017179649282736966,,PRUNED
20,20,33.333333333333336,2025-05-26 00:56:56.446419,2025-05-26 00:57:04.028791,0 days 00:00:07.582372,AdamW,0.13483353959191263,,,0.013328032174910125,,,,28,,,0.009305565097180703,,PRUNED
21,21,39.583333333333336,2025-05-26 00:57:04.063743,2025-05-26 00:57:13.661340,0 days 00:00:09.597597,AdamW,0.1849177748720445,,,0.001132366126135909,,,,31,,,0.00018397722834079074,,PRUNED
22,22,33.333333333333336,2025-05-26 00:57:13.698680,2025-05-26 00:57:20.821098,0 days 00:00:07.122418,AdamW,0.20970939633015903,,,0.0009242990604441937,,,,31,,,0.00011342203836261639,,PRUNED
23,23,37.5,2025-05-26 00:57:20.853559,2025-05-26 00:57:30.514503,0 days 00:00:09.660944,AdamW,0.04737140944586174,,,0.005733664728067877,,,,24,,,0.0003044125687103646,,PRUNED
24,24,43.75,2025-05-26 00:57:30.548759,2025-05-26 00:57:40.164071,0 days 00:00:09.615312,AdamW,0.13203518323118493,,,0.0007012166762919817,,,,28,,,0.001151145709663477,,COMPLETE
25,25,33.333333333333336,2025-05-26 00:57:40.208693,2025-05-26 00:57:47.218728,0 days 00:00:07.010035,AdamW,0.2218907063060444,,,4.4355878616951626e-05,,,,29,,,0.004766474356702155,,PRUNED
