,number,value,datetime_start,datetime_complete,duration,params_algorithm,params_dropout_rate,params_lr_Adadelta,params_lr_Adam,params_lr_AdamW,params_lr_SGD,params_momentum_SGD,params_nesterov_SGD,params_suggested_freeze,params_weight_decay_Adadelta,params_weight_decay_Adam,params_weight_decay_AdamW,params_weight_decay_SGD,state
0,0,37.5,2025-05-24 16:27:20.133735,2025-05-24 16:27:35.657141,0 days 00:00:15.523406,Adadelta,0.4753571532049581,0.017073967431528128,,,,,,11,29.154431891537552,,,,COMPLETE
1,1,58.333333333333336,2025-05-24 16:27:35.716882,2025-05-24 16:27:54.086880,0 days 00:00:18.369998,Adam,0.35403628889802274,,5.3370327626039544e-05,,,,,19,,0.05415244119402541,,,COMPLETE
2,2,52.083333333333336,2025-05-24 16:27:54.858361,2025-05-24 16:28:17.971664,0 days 00:00:23.113303,AdamW,0.2623782158161189,,,0.00014742753159914678,,,,9,,,0.0005404103854647331,,COMPLETE
3,3,33.333333333333336,2025-05-24 16:28:18.793941,2025-05-24 16:28:38.186512,0 days 00:00:19.392571,AdamW,0.3925879806965068,,,0.0026926469100861782,,,,14,,,0.00021930485556643703,,COMPLETE
4,4,33.333333333333336,2025-05-24 16:28:38.961164,2025-05-24 16:28:57.194251,0 days 00:00:18.233087,Adadelta,0.4744427686266666,5.456725485601478,,,,,,2,0.5762487216478605,,,,COMPLETE
5,5,37.5,2025-05-24 16:28:58.947980,2025-05-24 16:29:19.702598,0 days 00:00:20.754618,Adam,0.2475884550556351,,0.00017654048052495074,,,,,3,,1.2030178871154673,,,COMPLETE
6,6,33.333333333333336,2025-05-24 16:29:19.752249,2025-05-24 16:29:33.009523,0 days 00:00:13.257274,Adadelta,0.09242722776276352,2.463768595899747,,,,,,17,48.696409415209004,,,,PRUNED
7,7,33.333333333333336,2025-05-24 16:29:33.856825,2025-05-24 16:29:46.261533,0 days 00:00:12.404708,AdamW,0.0979914312095726,,,0.02065142557895925,,,,2,,,0.0005170191786366995,,PRUNED
8,8,33.333333333333336,2025-05-24 16:29:47.933005,2025-05-24 16:30:04.481130,0 days 00:00:16.548125,SGD,0.27134804157912423,,,,0.012273800987852962,0.5621564911890039,True,8,,,,0.06235377135673159,PRUNED
9,9,,2025-05-24 16:30:05.229466,2025-05-24 16:30:17.626637,0 days 00:00:12.397171,SGD,0.38563517334297287,,,,0.0031130959561221226,6.365199445099503,False,23,,,,0.2106648601704221,PRUNED
10,10,56.25,2025-05-24 16:30:17.660221,2025-05-24 16:30:36.295167,0 days 00:00:18.634946,Adam,0.0029985914779085965,,1.1799062523159256e-05,,,,,30,,0.011627478296224469,,,COMPLETE
11,11,50.0,2025-05-24 16:30:37.182952,2025-05-24 16:30:54.017896,0 days 00:00:16.834944,Adam,0.007797399829228002,,1.4092674202848303e-05,,,,,29,,0.010351345342149884,,,COMPLETE
12,12,50.0,2025-05-24 16:30:55.623319,2025-05-24 16:31:21.569184,0 days 00:00:25.945865,Adam,0.1780456116674968,,1.303899505677634e-05,,,,,31,,0.011705333802247565,,,COMPLETE
13,13,33.333333333333336,2025-05-24 16:31:21.625744,2025-05-24 16:31:36.539264,0 days 00:00:14.913520,Adam,0.34494521167484593,,0.03509224713892094,,,,,24,,0.07202554321357184,,,PRUNED
14,14,35.416666666666664,2025-05-24 16:31:36.620746,2025-05-24 16:31:47.308639,0 days 00:00:10.687893,Adam,0.006357269289235547,,0.00022102953841516675,,,,,21,,28.71704329664146,,,PRUNED
15,15,60.416666666666664,2025-05-24 16:31:48.908794,2025-05-24 16:32:05.816743,0 days 00:00:16.907949,Adam,0.1778133559297399,,5.625103603684528e-05,,,,,27,,0.15801715774258915,,,COMPLETE
16,16,41.666666666666664,2025-05-24 16:32:06.643993,2025-05-24 16:32:17.223587,0 days 00:00:10.579594,Adam,0.1851080041316471,,0.00027551193949285475,,,,,19,,0.37230480177438474,,,PRUNED
17,17,33.333333333333336,2025-05-24 16:32:17.257030,2025-05-24 16:32:27.885562,0 days 00:00:10.628532,Adam,0.3239477433104646,,0.0028549587020762083,,,,,26,,0.2773116308155133,,,PRUNED
18,18,,2025-05-24 16:32:27.918849,2025-05-24 16:32:34.847658,0 days 00:00:06.928809,SGD,0.1747154281887268,,,,3.908443370991221e-05,97.4924546650071,False,26,,,,25.319619734613873,PRUNED
19,19,54.166666666666664,2025-05-24 16:32:34.881924,2025-05-24 16:32:53.062695,0 days 00:00:18.180771,Adam,0.4057694026342346,,8.051995261493982e-05,,,,,14,,2.6308955801746947,,,COMPLETE
20,20,33.333333333333336,2025-05-24 16:32:53.112448,2025-05-24 16:33:06.224286,0 days 00:00:13.111838,Adam,0.11205911755332149,,0.0012645520144342998,,,,,19,,0.09442971127881689,,,PRUNED
21,21,50.0,2025-05-24 16:33:06.977102,2025-05-24 16:33:23.549106,0 days 00:00:16.572004,Adam,0.05066515165687685,,3.6524345437376747e-05,,,,,29,,0.0378610858850995,,,COMPLETE
22,22,56.25,2025-05-24 16:33:23.599282,2025-05-24 16:33:42.401444,0 days 00:00:18.802162,Adam,0.31837472033247816,,3.1131346646743656e-05,,,,,27,,0.03732730498711264,,,COMPLETE
23,23,56.25,2025-05-24 16:33:43.199958,2025-05-24 16:34:01.610448,0 days 00:00:18.410490,Adam,0.2197900237981126,,5.9928864983460224e-05,,,,,23,,0.2064621410320974,,,COMPLETE
24,24,35.416666666666664,2025-05-24 16:34:02.415873,2025-05-24 16:34:15.266999,0 days 00:00:12.851126,Adam,0.13203518323118493,,1.0037358116120055e-05,,,,,31,,0.029676745984187416,,,PRUNED
25,25,33.333333333333336,2025-05-24 16:34:16.168458,2025-05-24 16:34:29.750350,0 days 00:00:13.581892,Adam,0.05402646553412849,,0.0006451712292602032,,,,,28,,0.12405319719901486,,,PRUNED
26,26,31.25,2025-05-24 16:34:30.655615,2025-05-24 16:34:41.199437,0 days 00:00:10.543822,AdamW,0.43975039794403503,,,1.6462494656141686e-05,,,,24,,,0.00978075905358462,,PRUNED
27,27,,2025-05-24 16:34:41.233432,2025-05-24 16:34:50.982537,0 days 00:00:09.749105,SGD,0.3072491265495468,,,,1.8001158293361365e-05,68.54278835088991,True,21,,,,90.04727869618729,PRUNED
28,28,33.333333333333336,2025-05-24 16:34:51.015853,2025-05-24 16:34:59.562263,0 days 00:00:08.546410,Adadelta,0.3609555272514224,84.18841767904223,,,,,,31,0.014236305881279616,,,,PRUNED
29,29,33.333333333333336,2025-05-24 16:34:59.596122,2025-05-24 16:35:13.430316,0 days 00:00:13.834194,Adadelta,0.14066609175991898,0.0163326397242079,,,,,,12,0.010094931633979147,,,,PRUNED
30,30,31.25,2025-05-24 16:35:14.214188,2025-05-24 16:35:27.766476,0 days 00:00:13.552288,Adam,0.05373168408334303,,0.00010134990108102034,,,,,17,,0.6124842392044597,,,PRUNED
31,31,47.916666666666664,2025-05-24 16:35:27.800595,2025-05-24 16:35:49.051999,0 days 00:00:21.251404,Adam,0.30235607658858027,,2.849014023895212e-05,,,,,27,,0.030117618516002916,,,COMPLETE
32,32,54.166666666666664,2025-05-24 16:35:49.967081,2025-05-24 16:36:11.657209,0 days 00:00:21.690128,Adam,0.2165680753367213,,3.2085944540267664e-05,,,,,26,,0.030434217437068024,,,COMPLETE
33,33,52.083333333333336,2025-05-24 16:36:11.704640,2025-05-24 16:36:27.965532,0 days 00:00:16.260892,Adam,0.2734920242424279,,2.7463528082888617e-05,,,,,28,,0.010319490660873155,,,COMPLETE
34,34,33.333333333333336,2025-05-24 16:36:28.766139,2025-05-24 16:36:38.054432,0 days 00:00:09.288293,AdamW,0.43392474200945563,,,0.09946126450457445,,,,21,,,0.0045448386073854916,,PRUNED
35,35,41.666666666666664,2025-05-24 16:36:38.086171,2025-05-24 16:36:50.056032,0 days 00:00:11.969861,Adam,0.359781384542588,,6.331651968787996e-05,,,,,29,,0.05700920637608914,,,PRUNED
36,36,56.25,2025-05-24 16:36:50.845576,2025-05-24 16:37:06.612213,0 days 00:00:15.766637,Adam,0.4986801883039284,,2.1838171060410276e-05,,,,,7,,0.019727627933442904,,,COMPLETE
37,37,37.5,2025-05-24 16:37:07.106994,2025-05-24 16:37:16.430557,0 days 00:00:09.323563,Adadelta,0.3311104186632117,0.21514314769815227,,,,,,25,0.8609573721753037,,,,PRUNED
38,38,33.333333333333336,2025-05-24 16:37:16.462574,2025-05-24 16:37:30.660553,0 days 00:00:14.197979,AdamW,0.24977453972126268,,,0.0005516789129968933,,,,15,,,0.0021396821263543835,,PRUNED
39,39,33.333333333333336,2025-05-24 16:37:31.504754,2025-05-24 16:37:39.521350,0 days 00:00:08.016596,Adam,0.282111179374557,,0.008365047330010568,,,,,22,,0.12123449907534184,,,PRUNED
40,40,,2025-05-24 16:37:39.553911,2025-05-24 16:37:50.765821,0 days 00:00:11.211910,SGD,0.22442781099818837,,,,0.04553662854131712,36.28686457290567,True,18,,,,2.4943757639053636,PRUNED
41,41,50.0,2025-05-24 16:37:51.443361,2025-05-24 16:38:07.711782,0 days 00:00:16.268421,Adam,0.3056196990412929,,5.339277744590958e-05,,,,,23,,0.19865092766838002,,,COMPLETE
42,42,37.5,2025-05-24 16:38:07.759327,2025-05-24 16:38:14.209719,0 days 00:00:06.450392,Adam,0.21641733201675076,,0.0001366262093489908,,,,,25,,0.0607079800385049,,,PRUNED
43,43,37.5,2025-05-24 16:38:14.241059,2025-05-24 16:38:20.565268,0 days 00:00:06.324209,Adam,0.37448710202434154,,5.627410074857175e-05,,,,,30,,0.18346969513923767,,,PRUNED
44,44,35.416666666666664,2025-05-24 16:38:20.597533,2025-05-24 16:38:27.011386,0 days 00:00:06.413853,Adam,0.24453889416469882,,0.0004252795218144744,,,,,27,,1.3438558928848077,,,PRUNED
45,45,35.416666666666664,2025-05-24 16:38:27.042647,2025-05-24 16:38:33.638448,0 days 00:00:06.595801,Adam,0.40740578530559707,,1.8281442543519256e-05,,,,,23,,0.5611050160040346,,,PRUNED
46,46,37.5,2025-05-24 16:38:33.670828,2025-05-24 16:38:40.098791,0 days 00:00:06.427963,Adam,0.15614294039307972,,9.027556162660835e-05,,,,,20,,0.018958885558003843,,,PRUNED
47,47,33.333333333333336,2025-05-24 16:38:40.134575,2025-05-24 16:38:46.666215,0 days 00:00:06.531640,Adadelta,0.08206777385603724,98.43155468624178,,,,,,0,0.12410453331373307,,,,PRUNED
48,48,45.833333333333336,2025-05-24 16:38:46.700273,2025-05-24 16:38:54.070785,0 days 00:00:07.370512,AdamW,0.2901880957762785,,,1.6532915747157256e-05,,,,24,,,0.0001096724838697779,,PRUNED
49,49,37.5,2025-05-24 16:38:54.103038,2025-05-24 16:39:00.671532,0 days 00:00:06.568494,Adam,0.19373026966744397,,3.974566931725285e-05,,,,,17,,0.05075427102861869,,,PRUNED
50,50,,2025-05-24 16:39:00.704997,2025-05-24 16:39:06.559208,0 days 00:00:05.854211,SGD,0.030155740680654946,,,,0.00019617051137421125,47.540635735411044,False,28,,,,0.012267280752973314,PRUNED
