,number,value,datetime_start,datetime_complete,duration,params_algorithm,params_dropout_rate,params_lr_Adadelta,params_lr_Adam,params_lr_AdamW,params_lr_SGD,params_momentum_SGD,params_nesterov_SGD,params_suggested_freeze,params_weight_decay_Adadelta,params_weight_decay_Adam,params_weight_decay_AdamW,params_weight_decay_SGD,state
0,0,35.416666666666664,2025-05-25 07:18:22.635172,2025-05-25 07:18:30.973929,0 days 00:00:08.338757,Adadelta,0.4753571532049581,0.017073967431528128,,,,,,11,29.154431891537552,,,,COMPLETE
1,1,52.083333333333336,2025-05-25 07:18:31.017841,2025-05-25 07:18:38.140973,0 days 00:00:07.123132,Adam,0.35403628889802274,,5.3370327626039544e-05,,,,,19,,0.05415244119402541,,,COMPLETE
2,2,54.166666666666664,2025-05-25 07:18:38.177762,2025-05-25 07:18:45.202514,0 days 00:00:07.024752,AdamW,0.2623782158161189,,,0.00014742753159914678,,,,9,,,0.0005404103854647331,,COMPLETE
3,3,37.5,2025-05-25 07:18:45.238856,2025-05-25 07:18:52.224328,0 days 00:00:06.985472,AdamW,0.3925879806965068,,,0.0026926469100861782,,,,14,,,0.00021930485556643703,,COMPLETE
4,4,33.333333333333336,2025-05-25 07:18:52.260797,2025-05-25 07:18:59.894852,0 days 00:00:07.634055,Adadelta,0.4744427686266666,5.456725485601478,,,,,,2,0.5762487216478605,,,,COMPLETE
5,5,39.583333333333336,2025-05-25 07:18:59.931552,2025-05-25 07:19:07.038329,0 days 00:00:07.106777,Adam,0.2475884550556351,,0.00017654048052495074,,,,,3,,1.2030178871154673,,,COMPLETE
6,6,33.333333333333336,2025-05-25 07:19:07.074946,2025-05-25 07:19:11.438995,0 days 00:00:04.364049,Adadelta,0.09242722776276352,2.463768595899747,,,,,,17,48.696409415209004,,,,PRUNED
7,7,33.333333333333336,2025-05-25 07:19:11.463928,2025-05-25 07:19:15.733112,0 days 00:00:04.269184,AdamW,0.0979914312095726,,,0.02065142557895925,,,,2,,,0.0005170191786366995,,PRUNED
8,8,33.333333333333336,2025-05-25 07:19:15.758353,2025-05-25 07:19:20.014953,0 days 00:00:04.256600,SGD,0.27134804157912423,,,,0.012273800987852962,0.5621564911890039,True,8,,,,0.06235377135673159,PRUNED
9,9,,2025-05-25 07:19:20.040660,2025-05-25 07:19:23.312710,0 days 00:00:03.272050,SGD,0.38563517334297287,,,,0.0031130959561221226,6.365199445099503,False,23,,,,0.2106648601704221,PRUNED
10,10,56.25,2025-05-25 07:19:23.337653,2025-05-25 07:19:30.337782,0 days 00:00:07.000129,AdamW,0.0029985914779085965,,,1.1799062523159256e-05,,,,30,,,0.006630907782559361,,COMPLETE
11,11,56.25,2025-05-25 07:19:30.374666,2025-05-25 07:19:37.148530,0 days 00:00:06.773864,AdamW,0.007797399829228002,,,1.6111719662796795e-05,,,,29,,,0.00980651307786945,,COMPLETE
12,12,58.333333333333336,2025-05-25 07:19:37.185699,2025-05-25 07:19:43.896402,0 days 00:00:06.710703,AdamW,0.0023223632990295113,,,1.3644721320730956e-05,,,,31,,,0.009725149345707073,,COMPLETE
13,13,29.166666666666668,2025-05-25 07:19:43.933290,2025-05-25 07:19:47.526486,0 days 00:00:03.593196,AdamW,0.005412961000180638,,,1.0405480109131068e-05,,,,31,,,0.008814715952307395,,PRUNED
14,14,50.0,2025-05-25 07:19:47.551335,2025-05-25 07:19:54.366933,0 days 00:00:06.815598,AdamW,0.12040396875045506,,,0.00012529677507216436,,,,26,,,0.0025253710106474536,,COMPLETE
15,15,56.25,2025-05-25 07:19:54.403768,2025-05-25 07:20:01.493207,0 days 00:00:07.089439,AdamW,0.18171086507461084,,,9.078186230435655e-05,,,,22,,,0.0031119686282968955,,COMPLETE
16,16,56.25,2025-05-25 07:20:01.532555,2025-05-25 07:20:08.312139,0 days 00:00:06.779584,AdamW,0.05379019785703282,,,1.2015725719511394e-05,,,,27,,,0.0037727423756429715,,COMPLETE
17,17,,2025-05-25 07:20:08.349016,2025-05-25 07:20:11.638539,0 days 00:00:03.289523,SGD,0.16545642090340737,,,,1.533653919754068e-05,99.82036515505162,False,31,,,,96.3979853269096,PRUNED
18,18,33.333333333333336,2025-05-25 07:20:11.664687,2025-05-25 07:20:15.338602,0 days 00:00:03.673915,Adam,0.04482628444042946,,0.07937580731016337,,,,,25,,95.53772735801623,,,PRUNED
19,19,33.333333333333336,2025-05-25 07:20:15.368922,2025-05-25 07:20:20.476493,0 days 00:00:05.107571,AdamW,0.1869888528707922,,,0.0011507175289497305,,,,21,,,0.0053185080572227105,,PRUNED
20,20,68.75,2025-05-25 07:20:20.509417,2025-05-25 07:20:28.633341,0 days 00:00:08.123924,AdamW,0.052419580411410725,,,5.8072130917087185e-05,,,,28,,,0.0022594299788264364,,COMPLETE
21,21,54.166666666666664,2025-05-25 07:20:28.682222,2025-05-25 07:20:37.882418,0 days 00:00:09.200196,AdamW,0.05066515165687685,,,4.201932482853397e-05,,,,27,,,0.0014917782673375991,,COMPLETE
22,22,58.333333333333336,2025-05-25 07:20:37.927426,2025-05-25 07:20:45.122627,0 days 00:00:07.195201,AdamW,0.001939575637918755,,,3.720837642548286e-05,,,,29,,,0.005622244008186735,,COMPLETE
23,23,35.416666666666664,2025-05-25 07:20:45.159715,2025-05-25 07:20:48.776528,0 days 00:00:03.616813,AdamW,0.06524740416781884,,,0.00032937981168654955,,,,24,,,0.0015103406097788684,,PRUNED
24,24,60.416666666666664,2025-05-25 07:20:48.801924,2025-05-25 07:20:57.012819,0 days 00:00:08.210895,AdamW,0.13203518323118493,,,5.0435758947683576e-05,,,,28,,,0.00445517646502445,,COMPLETE
25,25,35.416666666666664,2025-05-25 07:20:57.050049,2025-05-25 07:21:06.054141,0 days 00:00:09.004092,AdamW,0.12970999031771682,,,0.00043269461141971923,,,,20,,,0.0023066090533406538,,PRUNED
26,26,,2025-05-25 07:21:06.079530,2025-05-25 07:21:09.357338,0 days 00:00:03.277808,SGD,0.13727793317340772,,,,2.4117831263229108e-05,68.27530940323874,True,28,,,,23.703006937863524,PRUNED
27,27,33.333333333333336,2025-05-25 07:21:09.383054,2025-05-25 07:21:13.060456,0 days 00:00:03.677402,Adam,0.22207000967123158,,0.014616526841824492,,,,,25,,0.010667799013471044,,,PRUNED
28,28,33.333333333333336,2025-05-25 07:21:13.085238,2025-05-25 07:21:16.844822,0 days 00:00:03.759584,Adadelta,0.09534300026248776,84.18841767904223,,,,,,16,0.014236305881279616,,,,PRUNED
29,29,56.25,2025-05-25 07:21:16.870420,2025-05-25 07:21:24.369242,0 days 00:00:07.498822,Adadelta,0.07122788495751158,0.0163326397242079,,,,,,12,0.010094931633979147,,,,COMPLETE
30,30,58.333333333333336,2025-05-25 07:21:24.406486,2025-05-25 07:21:32.406115,0 days 00:00:07.999629,AdamW,0.3062601334911905,,,4.078326184861488e-05,,,,31,,,0.0041806848695891295,,COMPLETE
31,31,58.333333333333336,2025-05-25 07:21:32.452215,2025-05-25 07:21:40.460387,0 days 00:00:08.008172,AdamW,0.030270263840812505,,,4.0137306208626196e-05,,,,28,,,0.005424248890001362,,COMPLETE
