run,epoch,phase,image_name,ground_truth,prediction
1,1,train,second_gen_p_26_z_-30.png,P,Q
1,1,train,second_gen_p_51_z_-30.png,P,P
1,1,train,second_gen_p_32_z_-30.png,P,Q
1,1,train,second_gen_h_35_z_-30.png,H,Q
1,1,train,second_gen_p_26_z_30.png,P,H
1,1,train,second_gen_p_64_z_30.png,P,P
1,1,train,second_gen_h_40_z_-30.png,H,Q
1,1,train,second_gen_q_13_z_30.png,Q,P
1,1,train,second_gen_h_40_z_30.png,H,P
1,1,train,second_gen_h_35_z_30.png,H,Q
1,1,train,second_gen_q_78_z_-30.png,Q,Q
1,1,train,second_gen_h_5_z_30.png,H,Q
1,1,train,second_gen_p_32_z_30.png,P,P
1,1,train,second_gen_h_72_z_30.png,H,P
1,1,train,second_gen_q_57_z_-30.png,Q,Q
1,1,train,second_gen_q_57_z_30.png,Q,Q
1,1,train,second_gen_p_37_z_-30.png,P,P
1,1,train,second_gen_h_67_z_30.png,H,H
1,1,train,second_gen_h_5_z_-30.png,H,H
1,1,train,second_gen_p_51_z_30.png,P,P
1,1,train,second_gen_h_43_z_-30.png,H,H
1,1,train,second_gen_p_64_z_-30.png,P,P
1,1,train,second_gen_q_43_z_-30.png,Q,Q
1,1,train,second_gen_h_67_z_-30.png,H,H
1,1,train,second_gen_h_72_z_-30.png,H,P
1,1,train,second_gen_h_43_z_30.png,H,H
1,1,train,second_gen_p_37_z_30.png,P,P
1,1,train,second_gen_q_49_z_-30.png,Q,Q
1,1,train,second_gen_p_46_z_-30.png,P,P
1,1,train,second_gen_q_93_z_30.png,Q,Q
1,1,train,second_gen_q_78_z_30.png,Q,H
1,1,train,second_gen_q_43_z_30.png,Q,P
1,1,train,second_gen_q_13_z_-30.png,Q,H
1,1,train,second_gen_q_93_z_-30.png,Q,Q
1,1,train,second_gen_q_49_z_30.png,Q,P
1,1,train,second_gen_p_46_z_30.png,P,P
1,1,test,second_gen_h_42_x_-90_ood1.png,H,P
1,1,test,second_gen_h_42_x_90_ood1.png,H,P
1,1,test,second_gen_h_44_z_-30_ood2.png,H,H
1,1,test,second_gen_h_44_z_30_ood2.png,H,H
1,1,test,second_gen_h_56_x_-90_ood1.png,H,P
1,1,test,second_gen_h_56_x_90_ood1.png,H,P
1,1,test,second_gen_h_68_z_-30_ood2.png,H,H
1,1,test,second_gen_h_68_z_30_ood2.png,H,H
1,1,test,second_gen_h_78_z_-30_ood3.png,H,Q
1,1,test,second_gen_h_78_z_30_ood3.png,H,P
1,1,test,second_gen_h_84_z_-30_ood3.png,H,Q
1,1,test,second_gen_h_84_z_30_ood3.png,H,P
1,1,test,second_gen_h_89_z_-30_iid.png,H,H
1,1,test,second_gen_h_89_z_30_iid.png,H,H
1,1,test,second_gen_h_94_z_-30_iid.png,H,P
1,1,test,second_gen_h_94_z_30_iid.png,H,P
1,1,test,second_gen_p_25_z_-30_ood3.png,P,Q
1,1,test,second_gen_p_25_z_30_ood3.png,P,Q
1,1,test,second_gen_p_28_z_-30_ood3.png,P,Q
1,1,test,second_gen_p_28_z_30_ood3.png,P,Q
1,1,test,second_gen_p_38_z_-30_iid.png,P,P
1,1,test,second_gen_p_38_z_30_iid.png,P,P
1,1,test,second_gen_p_48_x_-90_ood1.png,P,H
1,1,test,second_gen_p_48_x_90_ood1.png,P,H
1,1,test,second_gen_p_4_x_-90_ood1.png,P,P
1,1,test,second_gen_p_4_x_90_ood1.png,P,P
1,1,test,second_gen_p_54_z_-30_ood2.png,P,H
1,1,test,second_gen_p_54_z_30_ood2.png,P,H
1,1,test,second_gen_p_57_z_-30_iid.png,P,P
1,1,test,second_gen_p_57_z_30_iid.png,P,P
1,1,test,second_gen_p_73_z_-30_ood2.png,P,H
1,1,test,second_gen_p_73_z_30_ood2.png,P,H
1,1,test,second_gen_q_14_z_-30_ood2.png,Q,Q
1,1,test,second_gen_q_14_z_30_ood2.png,Q,H
1,1,test,second_gen_q_32_x_-90_ood1.png,Q,P
