,number,value,datetime_start,datetime_complete,duration,params_algorithm,params_dropout_rate,params_lr_Adadelta,params_lr_Adam,params_lr_AdamW,params_lr_SGD,params_momentum_SGD,params_nesterov_SGD,params_suggested_freeze,params_weight_decay_Adadelta,params_weight_decay_Adam,params_weight_decay_AdamW,params_weight_decay_SGD,state
0,0,31.25,2025-05-25 01:32:34.063148,2025-05-25 01:33:05.487250,0 days 00:00:31.424102,Adadelta,0.4753571532049581,0.017073967431528128,,,,,,3,29.154431891537552,,,,COMPLETE
1,1,43.75,2025-05-25 01:33:05.545872,2025-05-25 01:33:34.749689,0 days 00:00:29.203817,Adam,0.35403628889802274,,5.3370327626039544e-05,,,,,6,,0.05415244119402541,,,COMPLETE
2,2,43.75,2025-05-25 01:33:34.799110,2025-05-25 01:34:07.787909,0 days 00:00:32.988799,AdamW,0.2623782158161189,,,0.00014742753159914678,,,,3,,,0.0005404103854647331,,COMPLETE
3,3,33.333333333333336,2025-05-25 01:34:07.838561,2025-05-25 01:34:36.676482,0 days 00:00:28.837921,AdamW,0.3925879806965068,,,0.0026926469100861782,,,,4,,,0.00021930485556643703,,COMPLETE
4,4,33.333333333333336,2025-05-25 01:34:36.726028,2025-05-25 01:35:06.516229,0 days 00:00:29.790201,Adadelta,0.4744427686266666,5.456725485601478,,,,,,0,0.5762487216478605,,,,COMPLETE
5,5,41.666666666666664,2025-05-25 01:35:06.567385,2025-05-25 01:35:35.264783,0 days 00:00:28.697398,Adam,0.2475884550556351,,0.00017654048052495074,,,,,1,,1.2030178871154673,,,COMPLETE
6,6,33.333333333333336,2025-05-25 01:35:35.314821,2025-05-25 01:35:49.093762,0 days 00:00:13.778941,Adadelta,0.09242722776276352,2.463768595899747,,,,,,5,48.696409415209004,,,,PRUNED
7,7,33.333333333333336,2025-05-25 01:35:49.119962,2025-05-25 01:36:00.612656,0 days 00:00:11.492694,AdamW,0.0979914312095726,,,0.02065142557895925,,,,0,,,0.0005170191786366995,,PRUNED
8,8,27.083333333333332,2025-05-25 01:36:00.670074,2025-05-25 01:36:12.789181,0 days 00:00:12.119107,SGD,0.27134804157912423,,,,0.012273800987852962,0.5621564911890039,True,2,,,,0.06235377135673159,PRUNED
9,9,,2025-05-25 01:36:12.825616,2025-05-25 01:36:18.876617,0 days 00:00:06.051001,SGD,0.38563517334297287,,,,0.0031130959561221226,6.365199445099503,False,7,,,,0.2106648601704221,PRUNED
10,10,27.083333333333332,2025-05-25 01:36:18.910421,2025-05-25 01:36:30.737040,0 days 00:00:11.826619,Adam,0.0029985914779085965,,1.1799062523159256e-05,,,,,9,,0.011627478296224469,,,PRUNED
11,11,33.333333333333336,2025-05-25 01:36:30.784158,2025-05-25 01:36:40.377164,0 days 00:00:09.593006,Adam,0.2687772072034616,,0.06135465318705142,,,,,6,,0.020123694972889298,,,PRUNED
12,12,31.25,2025-05-25 01:36:40.404355,2025-05-25 01:37:03.809760,0 days 00:00:23.405405,AdamW,0.33917540003066937,,,2.031973943675742e-05,,,,8,,,0.008383621437420495,,COMPLETE
13,13,31.25,2025-05-25 01:37:03.860502,2025-05-25 01:37:36.004041,0 days 00:00:32.143539,Adam,0.21355615281666585,,0.00026931176066398395,,,,,5,,37.639965874722925,,,COMPLETE
14,14,50.0,2025-05-25 01:37:36.053862,2025-05-25 01:38:09.455345,0 days 00:00:33.401483,AdamW,0.17284687262413326,,,5.107684925222934e-05,,,,3,,,0.0025253710106474536,,COMPLETE
15,15,31.25,2025-05-25 01:38:09.504343,2025-05-25 01:38:21.835578,0 days 00:00:12.331235,Adam,0.17063866647878068,,2.0599161373346178e-05,,,,,6,,0.17249016594984704,,,PRUNED
16,16,27.083333333333332,2025-05-25 01:38:21.869506,2025-05-25 01:38:34.527974,0 days 00:00:12.658468,AdamW,0.1425088832102691,,,1.4334964182147694e-05,,,,4,,,0.004160617933755995,,PRUNED
17,17,,2025-05-25 01:38:34.568517,2025-05-25 01:38:40.864767,0 days 00:00:06.296250,SGD,0.328611178889576,,,,1.533653919754068e-05,99.82036515505162,False,7,,,,96.3979853269096,PRUNED
18,18,33.333333333333336,2025-05-25 01:38:40.890856,2025-05-25 01:38:46.334242,0 days 00:00:05.443386,Adam,0.4131716726663137,,0.0056524001870437044,,,,,2,,0.4768669286986543,,,PRUNED
19,19,50.0,2025-05-25 01:38:46.373631,2025-05-25 01:39:04.912157,0 days 00:00:18.538526,AdamW,0.005494594621885562,,,0.00029761496078765904,,,,6,,,0.0020263445300494625,,COMPLETE
20,20,54.166666666666664,2025-05-25 01:39:04.963126,2025-05-25 01:39:31.017835,0 days 00:00:26.054709,AdamW,0.026432108424850703,,,0.0003570618178271882,,,,3,,,0.002002695421017901,,COMPLETE
21,21,43.75,2025-05-25 01:39:31.060429,2025-05-25 01:39:58.127319,0 days 00:00:27.066890,AdamW,0.0011838698041700775,,,0.0003543373724332759,,,,3,,,0.0021947986413837564,,COMPLETE
22,22,31.25,2025-05-25 01:39:58.177390,2025-05-25 01:40:11.629252,0 days 00:00:13.451862,AdamW,0.05663207576530692,,,0.00015007087917377423,,,,2,,,0.0018437181180018408,,PRUNED
23,23,33.333333333333336,2025-05-25 01:40:11.686982,2025-05-25 01:40:25.293197,0 days 00:00:13.606215,AdamW,0.049755245288971434,,,0.001523820517595914,,,,4,,,0.0017293242888142125,,PRUNED
24,24,47.916666666666664,2025-05-25 01:40:25.328521,2025-05-25 01:40:56.844023,0 days 00:00:31.515502,AdamW,0.14281820714462504,,,7.504642116813735e-05,,,,5,,,0.003639324958787431,,COMPLETE
25,25,29.166666666666668,2025-05-25 01:40:56.895877,2025-05-25 01:41:10.342773,0 days 00:00:13.446896,AdamW,0.046088232499824605,,,0.0005958053804449612,,,,1,,,0.0009760269856156882,,PRUNED
26,26,33.333333333333336,2025-05-25 01:41:10.400470,2025-05-25 01:41:20.458744,0 days 00:00:10.058274,AdamW,0.10029368280809103,,,5.1777354675925276e-05,,,,3,,,0.004602273066689471,,PRUNED
27,27,33.333333333333336,2025-05-25 01:41:20.517014,2025-05-25 01:41:31.648799,0 days 00:00:11.131785,AdamW,0.19429588925935704,,,0.003206785905409232,,,,4,,,0.0010855123662302558,,PRUNED
28,28,52.083333333333336,2025-05-25 01:41:31.706337,2025-05-25 01:41:55.273020,0 days 00:00:23.566683,AdamW,0.037929074471544866,,,0.0003895852682376518,,,,7,,,0.0024899652149944543,,COMPLETE
29,29,31.25,2025-05-25 01:41:55.324653,2025-05-25 01:42:05.531112,0 days 00:00:10.206459,Adadelta,0.1276540657650679,64.45644666931992,,,,,,9,0.01286892803974938,,,,PRUNED
30,30,33.333333333333336,2025-05-25 01:42:05.575477,2025-05-25 01:42:16.886734,0 days 00:00:11.311257,AdamW,0.07612539035883709,,,0.008288075176264155,,,,8,,,0.008351302863963867,,PRUNED
31,31,35.416666666666664,2025-05-25 01:42:16.934512,2025-05-25 01:42:27.658553,0 days 00:00:10.724041,AdamW,0.025289820886582756,,,0.0003748197271882666,,,,7,,,0.00242229207155408,,PRUNED
32,32,33.333333333333336,2025-05-25 01:42:27.705171,2025-05-25 01:42:40.262075,0 days 00:00:12.556904,AdamW,0.02647018781809024,,,0.09769656942728046,,,,6,,,0.0014340077228554215,,PRUNED
33,33,29.166666666666668,2025-05-25 01:42:40.297328,2025-05-25 01:42:51.128589,0 days 00:00:10.831261,AdamW,0.1222166254387317,,,0.00019658307266057166,,,,3,,,0.0031107173952576355,,PRUNED
34,34,35.416666666666664,2025-05-25 01:42:51.163223,2025-05-25 01:43:02.999736,0 days 00:00:11.836513,AdamW,0.06907755829431447,,,4.4792132635954846e-05,,,,8,,,0.0008403991127384979,,PRUNED
35,35,37.5,2025-05-25 01:43:03.048278,2025-05-25 01:43:14.269617,0 days 00:00:11.221339,Adadelta,0.033178648478509744,0.019088210580947403,,,,,,6,0.013380939940168727,,,,PRUNED
36,36,35.416666666666664,2025-05-25 01:43:14.304612,2025-05-25 01:43:26.350516,0 days 00:00:12.045904,AdamW,0.16527512402557187,,,0.0008963844736755385,,,,5,,,0.004675329111589604,,PRUNED
37,37,,2025-05-25 01:43:26.377285,2025-05-25 01:43:34.881407,0 days 00:00:08.504122,SGD,0.2250672399871337,,,,2.3338934350649964e-05,77.338643178308,True,1,,,,14.688686511696513,PRUNED
38,38,35.416666666666664,2025-05-25 01:43:34.914802,2025-05-25 01:43:46.195914,0 days 00:00:11.281112,AdamW,0.00013105615235636803,,,0.00023237835620144433,,,,7,,,0.002731203355965227,,PRUNED
39,39,33.333333333333336,2025-05-25 01:43:46.229366,2025-05-25 01:43:58.414718,0 days 00:00:12.185352,Adadelta,0.09146490511452943,0.2697998746826366,,,,,,2,1.2731205051110535,,,,PRUNED
